Episode,Reward,Epsilon
585,-10.10,0.83902
586,-10.20,0.83876
587,-10.00,0.83851
588,-10.70,0.83826
589,-10.60,0.83801
590,-10.00,0.83776
591,-10.10,0.83751
592,-10.00,0.83725
593,-10.00,0.83700
594,-15.50,0.83675
595,-10.50,0.83650
596,-10.00,0.83625
597,-10.10,0.83600
598,-10.20,0.83575
599,-11.80,0.83550
600,-6.50,0.83525
601,-15.40,0.83500
602,-12.20,0.83475
603,-6.30,0.83450
604,-10.00,0.83425
605,-10.00,0.83400
606,-10.60,0.83375
607,-10.00,0.83350
608,-12.10,0.83325
609,-10.00,0.83300
610,-12.90,0.83275
611,-16.40,0.83250
612,-5.70,0.83225
613,-10.00,0.83200
614,-10.00,0.83175
615,-5.50,0.83150
616,-10.00,0.83125
617,-10.20,0.83100
618,-20.50,0.83075
619,-10.70,0.83050
620,-12.00,0.83025
621,-10.10,0.83000
622,-16.40,0.82975
623,-10.60,0.82950
624,-10.20,0.82925
625,-10.10,0.82901
626,-12.30,0.82876
627,-10.00,0.82851
628,-10.80,0.82826
629,-26.00,0.82801
630,-10.10,0.82776
631,-10.00,0.82751
632,-2.80,0.82727
633,-10.20,0.82702
634,-10.20,0.82677
635,-10.00,0.82652
636,-5.10,0.82627
637,-10.70,0.82603
638,-10.20,0.82578
639,-10.30,0.82553
640,-17.80,0.82528
641,-12.80,0.82504
642,-11.10,0.82479
643,-15.00,0.82454
644,-10.00,0.82429
645,-15.80,0.82405
646,-10.00,0.82380
647,-12.40,0.82355
648,-10.60,0.82330
649,-10.80,0.82306
650,-10.00,0.82281
651,-18.00,0.82256
652,-6.30,0.82232
653,-10.20,0.82207
654,-16.10,0.82182
655,-10.10,0.82158
656,-10.00,0.82133
657,-10.00,0.82108
658,10.20,0.82084
659,-10.00,0.82059
660,-11.10,0.82035
661,-10.40,0.82010
662,-10.50,0.81985
663,-10.00,0.81961
664,-10.00,0.81936
665,-10.00,0.81912
666,-10.40,0.81887
667,-19.70,0.81862
668,-11.70,0.81838
669,-12.00,0.81813
670,-11.70,0.81789
671,-5.50,0.81764
672,-29.10,0.81740
673,-10.00,0.81715
674,-23.40,0.81691
675,-10.10,0.81666
676,-10.10,0.81642
677,-10.30,0.81617
678,-10.40,0.81593
679,-11.60,0.81568
680,-10.80,0.81544
681,-11.00,0.81519
682,-10.70,0.81495
683,-7.20,0.81470
684,-10.70,0.81446
685,-10.10,0.81421
686,-11.10,0.81397
687,-11.20,0.81373
688,-15.50,0.81348
689,-10.10,0.81324
690,-10.40,0.81299
691,-10.40,0.81275
692,-10.70,0.81251
693,-10.00,0.81226
694,-17.20,0.81202
695,-12.90,0.81178
696,-10.30,0.81153
697,-16.00,0.81129
698,-10.00,0.81105
699,-11.90,0.81080
700,-10.30,0.81056
701,-5.90,0.81032
702,-7.50,0.81007
703,-10.00,0.80983
704,-14.20,0.80959
705,-11.30,0.80934
706,-10.80,0.80910
707,-10.00,0.80886
708,-13.70,0.80862
709,-13.30,0.80837
710,-10.00,0.80813
711,-10.00,0.80789
712,-10.00,0.80765
713,-4.10,0.80740
714,-10.20,0.80716
715,-10.10,0.80692
716,-4.40,0.80668
717,-12.70,0.80643
718,-18.10,0.80619
719,-11.30,0.80595
720,1.00,0.80571
721,-10.00,0.80547
722,-10.00,0.80523
723,-11.50,0.80498
724,-10.10,0.80474
725,-10.00,0.80450
726,-20.90,0.80426
727,-10.10,0.80402
728,-10.40,0.80378
729,-11.30,0.80354
730,-14.40,0.80330
731,-14.30,0.80305
732,-10.00,0.80281
733,-10.00,0.80257
734,-10.00,0.80233
735,-12.00,0.80209
736,-10.90,0.80185
737,-11.50,0.80161
738,-10.20,0.80137
739,-10.10,0.80113
740,-10.50,0.80089
741,9.50,0.80065
742,-10.50,0.80041
743,-9.40,0.80017
744,-12.90,0.79993
745,-10.60,0.79969
746,-11.70,0.79945
747,-9.50,0.79921
748,-11.30,0.79897
749,-17.40,0.79873
750,-7.80,0.79849
751,-10.10,0.79825
752,-14.30,0.79801
753,-2.70,0.79777
754,-11.10,0.79753
755,-11.80,0.79729
756,-11.60,0.79705
757,-10.80,0.79681
758,-10.00,0.79657
759,-14.20,0.79634
760,-15.80,0.79610
761,-14.10,0.79586
762,-21.10,0.79562
763,-5.90,0.79538
764,-10.60,0.79514
765,-15.40,0.79490
766,-19.40,0.79467
767,-10.50,0.79443
768,-17.90,0.79419
769,-15.50,0.79395
770,-12.30,0.79371
771,-14.30,0.79347
772,-10.00,0.79324
773,-15.80,0.79300
774,-10.30,0.79276
775,-10.00,0.79252
776,-10.00,0.79228
777,-10.00,0.79205
778,-10.00,0.79181
779,-10.30,0.79157
780,-11.60,0.79133
781,-10.00,0.79110
782,-10.00,0.79086
783,-10.00,0.79062
784,-6.60,0.79038
785,-11.30,0.79015
786,-10.00,0.78991
787,-11.40,0.78967
788,-10.00,0.78944
789,-10.10,0.78920
790,-10.80,0.78896
791,-13.60,0.78873
792,-10.20,0.78849
793,-4.30,0.78825
794,-10.00,0.78802
795,-11.00,0.78778
796,-10.60,0.78754
797,-10.00,0.78731
798,-10.00,0.78707
799,-11.20,0.78684
800,-11.30,0.78660
801,-10.30,0.78636
802,-11.30,0.78613
803,-2.80,0.78589
804,-14.70,0.78566
805,-10.00,0.78542
806,-21.30,0.78518
807,-10.10,0.78495
808,-11.00,0.78471
809,-11.50,0.78448
810,-10.50,0.78424
811,-13.60,0.78401
812,-10.00,0.78377
813,-10.00,0.78354
814,-0.70,0.78330
815,-10.10,0.78307
816,-11.10,0.78283
817,-13.20,0.78260
818,-10.00,0.78236
819,-10.00,0.78213
820,-13.30,0.78189
821,-12.40,0.78166
822,-8.20,0.78142
823,-12.20,0.78119
824,-11.80,0.78096
825,-10.70,0.78072
826,-8.30,0.78049
827,-14.40,0.78025
828,-18.60,0.78002
829,-10.00,0.77978
830,-17.10,0.77955
831,-10.00,0.77932
832,-22.50,0.77908
833,-10.60,0.77885
834,-11.90,0.77862
835,-5.40,0.77838
836,-10.00,0.77815
837,-7.40,0.77792
838,-10.40,0.77768
839,-10.00,0.77745
840,-10.10,0.77722
841,-15.00,0.77698
842,-10.30,0.77675
843,-10.00,0.77652
844,-10.20,0.77628
845,-10.50,0.77605
846,-10.10,0.77582
847,-10.50,0.77558
848,-11.60,0.77535
849,-11.40,0.77512
850,-14.00,0.77489
851,-10.10,0.77465
852,-13.10,0.77442
853,-10.00,0.77419
854,-6.50,0.77396
855,-6.40,0.77373
856,-10.20,0.77349
857,-10.00,0.77326
858,-10.00,0.77303
859,-10.00,0.77280
860,-10.10,0.77257
861,-12.80,0.77233
862,-17.50,0.77210
863,-9.30,0.77187
864,-13.20,0.77164
865,-13.10,0.77141
866,-13.00,0.77118
867,-10.80,0.77094
868,-10.00,0.77071
869,-11.10,0.77048
870,-10.00,0.77025
871,-15.60,0.77002
872,-10.00,0.76979
873,-10.00,0.76956
874,-10.20,0.76933
875,-20.10,0.76910
876,-12.30,0.76887
877,-10.10,0.76863
878,-10.70,0.76840
879,-10.00,0.76817
880,-10.60,0.76794
881,-10.00,0.76771
882,-3.40,0.76748
883,-3.60,0.76725
884,-11.10,0.76702
885,-17.80,0.76679
886,-11.50,0.76656
887,-16.40,0.76633
888,-10.10,0.76610
889,-10.10,0.76587
890,-11.30,0.76564
891,-20.80,0.76541
892,-10.00,0.76518
893,-10.00,0.76495
894,-10.00,0.76472
895,-10.00,0.76449
896,-10.50,0.76427
897,-10.00,0.76404
898,-10.50,0.76381
899,-10.70,0.76358
900,-12.70,0.76335
901,4.20,0.76312
902,-10.00,0.76289
903,-10.70,0.76266
904,-10.50,0.76243
905,-12.90,0.76220
906,-10.60,0.76198
907,-10.00,0.76175
908,-11.90,0.76152
909,-11.60,0.76129
910,-11.90,0.76106
911,-11.20,0.76083
912,-10.00,0.76061
913,-10.00,0.76038
914,2.60,0.76015
915,-10.30,0.75992
916,-3.20,0.75969
917,-14.00,0.75946
918,-10.10,0.75924
919,-10.10,0.75901
920,-10.00,0.75878
921,-10.00,0.75855
922,-11.20,0.75833
923,-10.00,0.75810
924,-11.00,0.75787
925,-12.60,0.75764
926,-17.60,0.75742
927,-10.00,0.75719
928,16.00,0.75696
929,-1.60,0.75674
930,-14.50,0.75651
931,-13.10,0.75628
932,-10.00,0.75605
933,-11.40,0.75583
934,-10.10,0.75560
935,-11.70,0.75537
936,-13.60,0.75515
937,-10.90,0.75492
938,-6.00,0.75469
939,-10.10,0.75447
940,-10.40,0.75424
941,-10.00,0.75402
942,-9.30,0.75379
943,-10.30,0.75356
944,-11.30,0.75334
945,-10.00,0.75311
946,-16.40,0.75289
947,-18.40,0.75266
948,-10.10,0.75243
949,-11.30,0.75221
950,-11.70,0.75198
951,-6.00,0.75176
952,-10.10,0.75153
953,-13.70,0.75131
954,-2.40,0.75108
955,-10.70,0.75085
956,-10.10,0.75063
957,-10.20,0.75040
958,-10.00,0.75018
959,-20.70,0.74995
960,-10.00,0.74973
961,-11.00,0.74950
962,-10.00,0.74928
963,-10.00,0.74905
964,-10.50,0.74883
965,-10.10,0.74861
966,-6.30,0.74838
967,-11.70,0.74816
968,-10.10,0.74793
969,-10.30,0.74771
970,-3.10,0.74748
971,-11.30,0.74726
972,-6.80,0.74703
973,-21.60,0.74681
974,-10.00,0.74659
975,-14.00,0.74636
976,-12.50,0.74614
977,-10.00,0.74591
978,-10.30,0.74569
979,-10.00,0.74547
980,-10.00,0.74524
981,-15.60,0.74502
982,-5.20,0.74480
983,-10.00,0.74457
984,-11.60,0.74435
985,-20.20,0.74413
986,-19.90,0.74390
987,-11.00,0.74368
988,-12.00,0.74346
989,-11.00,0.74323
990,-11.00,0.74301
991,-10.00,0.74279
992,-11.50,0.74257
993,-8.50,0.74234
994,-10.70,0.74212
995,-11.60,0.74190
996,-11.30,0.74167
997,-11.60,0.74145
998,-1.40,0.74123
999,4.00,0.74101
1000,-10.40,0.74078
1001,-10.00,0.74056
1002,-10.60,0.74034
1003,-15.40,0.74012
1004,-10.20,0.73990
1005,-10.00,0.73967
1006,-10.00,0.73945
1007,-10.10,0.73923
1008,-11.00,0.73901
1009,-10.70,0.73879
1010,-14.90,0.73857
1011,-10.00,0.73834
1012,-10.40,0.73812
1013,-10.60,0.73790
1014,-10.00,0.73768
1015,-10.40,0.73746
1016,-10.90,0.73724
1017,-12.30,0.73702
1018,-10.50,0.73679
1019,-11.10,0.73657
1020,0.40,0.73635
